,fromZone,ToZone,morning_traffic
186197,100092,100084,121.71399200000002
186200,100092,100087,154.224129
186212,100092,100099,125.19903000000001
186217,100092,100111,104.57788299999999
186982,100094,100030,127.35049800000002
186985,100094,100033,168.18898299999998
186990,100094,100038,154.676093
187000,100094,100048,115.33342099999999
187001,100094,100049,162.662033
187008,100094,100483,240.67714600000002
187010,100094,100485,154.50539400000002
187012,100094,100500,113.756651
187013,100094,100501,113.26635
187014,100094,100502,153.60646500000001
187019,100094,100084,241.766616
187022,100094,100087,256.74306700000005
187034,100094,100099,177.10464800000003
187039,100094,100111,212.84691499999997
187048,100094,100121,105.17499000000001
187050,100094,100123,127.36475700000001
187051,100094,100124,116.35227899999998
187054,100094,100480,159.45034800000002
187823,100096,100038,110.566518
187834,100096,100049,132.760195
187847,100096,100502,107.552856
187855,100096,100087,120.533401
187867,100096,100099,108.18183199999999
189899,100110,100084,115.21822800000001
190609,100112,100099,110.82816
191387,100114,100091,114.011169
192560,100117,100111,134.725119
193717,100121,100111,131.580311
194426,100123,100033,105.62488
194431,100123,100038,116.059373
194449,100123,100483,112.366738
194872,100124,100026,106.57357099999999
194876,100124,100030,118.602418
194879,100124,100033,137.42343000000002
194883,100124,100037,101.162295
194884,100124,100038,127.78450900000001
194902,100124,100483,155.699696
194904,100124,100485,159.952827
194908,100124,100502,116.926797
194913,100124,100084,127.289519
194933,100124,100111,116.191425
196840,100139,100038,173.860103
196841,100139,100039,138.066818
196847,100139,100045,180.48060900000002
196849,100139,100047,118.50451600000001
196858,100139,100483,115.447521
196916,100139,100150,107.14699499999999
196941,100139,100175,118.026985
197288,100140,100038,127.107866
197289,100140,100039,207.449552
197295,100140,100045,163.689189
197297,100140,100047,123.68139500000001
197390,100140,100175,123.28856699999999
197704,100141,100038,106.66210199999999
197705,100141,100039,166.979205
197711,100141,100045,112.08984600000001
197803,100141,100175,110.53316299999999
199988,100148,100039,106.760227
203765,100160,100175,106.592547
204053,100161,100038,135.947945
204060,100161,100045,111.50409599999999
204062,100161,100047,111.850861
204071,100161,100483,102.092455
204155,100161,100175,186.410338
204509,100162,100038,121.632412
204510,100162,100039,102.06078099999999
204516,100162,100045,103.880793
204518,100162,100047,106.14481500000001
204527,100162,100483,132.18607
204611,100162,100175,183.958163
204981,100163,100038,160.68068300000002
204988,100163,100045,119.72636199999998
204990,100163,100047,141.977708
204999,100163,100483,124.596051
205025,100163,100099,104.76391900000002
205083,100163,100175,181.89602799999997
205492,100164,100175,107.137838
206174,100167,100175,106.80038300000001
206710,100169,100483,101.65382
206759,100169,100139,105.81992299999999
206794,100169,100175,112.15492099999999
230588,100137,100047,110.74923000000001
